Time,channel,V RMS,C RMS,V MOM,C MOM,V FUND,C FUND,V PERIOD,C PHASE SH,V SAG TIME,V SWELL TIME,C SWELL TIME,EN_ACT,EN_REACT,EN_APP,POW_ACT,POW_REACT,POW_APP,AHACC
1,1,993,253,250,187,240,198,0,20000,0,0,0,0,0,0,164,-3,251,0
1,2,1029,231,249,161,-233,174,0,20000,0,0,0,0,0,0,156,-3,238,0
2,1,496,130,-149,88,-105,97,0,20000,0,0,0,0,0,0,42,-3,68,0
2,2,532,122,-195,104,-98,96,0,20000,0,0,0,0,0,0,40,-2,65,0
3,1,177,53,211,45,148,38,0,20000,0,0,0,0,0,0,5,-3,10,0
3,2,212,47,210,46,160,34,0,20000,0,0,0,0,0,0,5,-3,8,0
4,1,70,23,58,13,49,15,0,20000,0,0,0,0,0,0,1,-2,1,0
4,2,70,21,90,0,60,18,0,20000,0,0,0,0,0,0,0,-2,1,0
5,1,35,13,43,9,21,5,0,20000,0,0,0,0,0,0,0,-2,0,0
5,2,35,11,34,20,28,5,0,20000,0,0,0,0,0,0,0,-2,0,0
6,1,35,9,-43,36,21,6,365,11968,0,0,0,0,0,0,-2,0,0,0
6,2,35,9,55,12,22,6,175,14832,0,0,0,0,0,0,-2,-2,0,0
7,1,35,9,106,14,-27,5,94,10344,0,0,0,0,0,0,-2,-2,0,0
7,2,35,11,-25,3,3,1,157,11392,0,0,0,0,0,0,-2,-2,0,0
1,1,1241,316,-4,239,-50,246,0,20000,0,0,0,0,0,0,269,-4,393,0
1,2,1277,290,37,219,-13,225,0,20000,0,0,0,0,0,0,253,-4,376,0
2,1,496,132,-138,93,-106,101,0,20000,0,0,0,0,0,0,42,-3,67,0
2,2,532,120,-115,98,-96,91,0,20000,0,0,0,0,0,0,40,-3,62,0
3,1,212,51,233,62,166,39,0,20000,0,0,0,0,0,0,5,-2,10,0
3,2,212,47,181,20,155,35,0,20000,0,0,0,0,0,0,5,-3,10,0
4,1,70,23,58,17,62,18,0,20000,0,0,0,0,0,0,1,-2,1,0
4,2,70,21,56,17,52,15,0,20000,0,0,0,0,0,0,0,-2,1,0
5,1,35,11,78,1,20,4,0,20000,0,0,0,0,0,0,-2,-3,0,0
5,2,35,13,61,0,23,3,0,20000,0,0,0,0,0,0,0,-3,0,0
6,1,35,11,-86,23,21,4,41,15672,0,0,0,0,0,0,-2,-2,0,0
6,2,35,9,-76,6,14,5,464,18072,0,0,0,0,0,0,0,-2,0,0
7,1,35,9,34,23,16,0,6,10256,0,0,0,0,0,0,0,-2,0,0
7,2,35,9,-60,6,9,23,207,10456,0,0,0,0,0,0,-2,-2,0,0
8,1,35,9,20,11,4,0,174,8040,0,0,0,0,0,0,-2,-2,0,0
8,2,35,9,13,22,2,0,61,10192,0,0,0,0,0,0,0,-2,0,0
9,1,35,9,-28,15,-29,22,317,12688,0,0,0,0,0,0,0,-2,0,0
9,2,35,11,2,23,12,3,340,9912,0,0,0,0,0,0,0,-2,0,0
10,1,35,9,-41,3,12,23,17,8968,0,0,0,0,0,0,0,-2,0,0
10,2,35,9,69,14,16,2,243,13768,0,0,0,0,0,0,0,-2,0,0
11,1,35,9,48,19,2,23,90,14424,0,0,0,0,0,0,-2,-2,0,0
11,2,35,9,-40,10,2,3,133,11440,0,0,0,0,0,0,-2,-2,0,0
12,1,35,11,44,23,9,23,139,11496,0,0,0,0,0,0,0,-2,0,0
12,2,35,11,43,5,19,21,20,13832,0,0,0,0,0,0,-2,-2,0,0
13,1,35,9,46,1,14,0,228,11632,0,0,0,0,0,0,0,-2,0,0
13,2,35,838,-63,-98,34,-109,374,12096,0,0,0,0,0,0,-3,-2,37,0
14,1,35,9,-51,8,-34,20,911,9064,0,0,0,0,0,0,-2,0,0,0
14,2,35,836,-25,-77,6,-243,187,13112,0,0,0,0,0,0,2,-3,37,0
15,1,35,9,25,1,7,23,784,13432,0,0,0,0,0,0,-2,-2,0,0
15,2,35,838,-104,-36,-37,92,114,14552,0,0,0,0,0,0,1,-2,37,0
16,1,35,9,31,-7,4,2,63,11768,0,0,0,0,0,0,0,-2,0,0
16,2,35,836,19,41,-28,32,392,11808,0,0,0,0,0,0,0,-2,37,0
17,1,35,9,-31,8,14,3,254,9504,0,0,0,0,0,0,0,-2,0,0
17,2,35,836,66,199,1,-73,447,13560,0,0,0,0,0,0,2,-3,41,0
18,1,35,9,12,16,0,23,128,13848,0,0,0,0,0,0,-2,-2,0,0
18,2,35,836,22,-244,6,-102,182,13464,0,0,0,0,0,0,-3,-4,37,0
19,1,35,9,-58,19,2,22,127,9344,0,0,0,0,0,0,-2,-2,0,0
19,2,35,836,32,-3,5,-130,230,10968,0,0,0,0,0,0,-4,0,35,0
20,1,35,11,-41,3,5,4,310,14064,0,0,0,0,0,0,0,-2,0,0
20,2,35,836,-48,97,0,-123,54,14128,0,0,0,0,0,0,0,-2,37,0
21,1,35,9,-113,2,2,2,122,12584,0,0,0,0,0,0,0,-2,0,0
21,2,35,838,-39,-197,8,-78,204,13408,0,0,0,0,0,0,-4,-3,37,0
22,1,35,9,-26,16,-41,0,223,9688,0,0,0,0,0,0,-2,-2,0,0
22,2,35,834,19,-31,3,-16,392,12000,0,0,0,0,0,0,-4,-3,37,0
23,1,35,9,27,19,4,21,117,10040,0,0,0,0,0,0,0,-3,0,0
23,2,35,836,3,164,-37,84,9,9912,0,0,0,0,0,0,0,0,37,0
24,1,35,9,8,20,2,0,60,16064,0,0,0,0,0,0,0,-2,0,0
24,2,35,836,66,-121,2,224,26,13928,0,0,0,0,0,0,0,-3,35,0
25,1,35,9,39,8,14,0,228,17584,0,0,0,0,0,0,0,-2,0,0
25,2,35,836,4,72,1,-156,96,13352,0,0,0,0,0,0,-6,-2,35,0
26,1,35,9,-30,20,-35,3,329,11520,0,0,0,0,0,0,-2,-2,0,0
26,2,35,834,23,242,17,26,540,9488,0,0,0,0,0,0,0,-3,37,0
27,1,35,9,77,17,-30,1,351,12400,0,0,0,0,0,0,-2,-2,0,0
27,2,35,836,-44,-142,1,185,73,12832,0,0,0,0,0,0,1,-3,37,0
28,1,35,9,49,0,11,1,64,16944,0,0,0,0,0,0,0,0,0,0
28,2,35,836,15,-42,3,-116,157,14752,0,0,0,0,0,0,-3,-4,35,0
29,1,35,9,17,13,16,23,87,13152,0,0,0,0,0,0,0,-2,0,0
29,2,35,836,28,60,-27,69,119,10840,0,0,0,0,0,0,0,-2,33,0
30,1,35,9,12,2,0,23,109,12584,0,0,0,0,0,0,-2,-2,0,0
30,2,35,836,32,123,-28,-225,463,13616,0,0,0,0,0,0,3,-3,37,0
31,1,35,11,-119,20,11,1,490,14976,0,0,0,0,0,0,0,-2,0,0
31,2,35,834,-45,117,-33,-69,185,10888,0,0,0,0,0,0,-3,-2,33,0
32,1,35,9,0,1,18,23,49,9664,0,0,0,0,0,0,0,-2,0,0
32,2,35,834,23,109,-29,121,161,10016,0,0,0,0,0,0,2,0,41,0
33,1,35,9,-53,12,-35,0,69,9552,0,0,0,0,0,0,-2,-2,0,0
33,2,35,836,-55,119,-29,-250,196,9840,0,0,0,0,0,0,-2,-3,33,0
34,1,35,9,107,15,-27,3,192,14112,0,0,0,0,0,0,-2,-2,0,0
34,2,35,836,72,71,11,-77,316,15384,0,0,0,0,0,0,-2,-2,37,0
35,1,35,11,-138,19,-25,20,29,10936,0,0,0,0,0,0,-2,-2,0,0
35,2,35,834,-149,10,-26,-12,388,8312,0,0,0,0,0,0,0,1,37,0
